wrongname,rightname
A&M-Corpus Christi,A&M-Corpus Christi
TAM C. Christi,A&M-Corpus Christi
TAMU-Corpus Christi,A&M-Corpus Christi
Texas A&amp;M-Corpus Christi,A&M-Corpus Christi
Texas A&M Corpus Chris,A&M-Corpus Christi
Texas A&M-CC,A&M-Corpus Christi
Texas A&M-Corpus Christi,A&M-Corpus Christi
Texas A&M–Corpus Christi,A&M-Corpus Christi
Tx AM-CC,A&M-Corpus Christi
Abil. Christian,Abilene Christian
Abilene Chr,Abilene Christian
Abilene Christ.,Abilene Christian
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&amp;M,Alabama A&M
Alabama A&M,Alabama A&M
Alabama St,Alabama St.
Alabama St.,Alabama St.
Alabama State,Alabama St.
Alcorn,Alcorn
Alcorn St,Alcorn
Alcorn St.,Alcorn
Alcorn State,Alcorn
American,American
American Univ,American
American University,American
App State,App State
App. St.,App State
Appalachian St,App State
Appalachian St.,App State
Appalachian State,App State
Arizona,Arizona
Arizona St,Arizona St.
Arizona St.,Arizona St.
Arizona State,Arizona St.
AR Pine Bluff,Ark.-Pine Bluff
Ark Pine Bluff,Ark.-Pine Bluff
Ark.-Pine Bluff,Ark.-Pine Bluff
Arkansas Pine Bluff,Ark.-Pine Bluff
Arkansas-Pine Bluff,Ark.-Pine Bluff
Arkansas–Pine Bluff,Ark.-Pine Bluff
Ark-Pine Bluff,Ark.-Pine Bluff
AR-Pine Bluff,Ark.-Pine Bluff
Arkansas,Arkansas
Arkansas St,Arkansas St.
Arkansas St.,Arkansas St.
Arkansas State,Arkansas St.
Armstrong,Armstrong
Army,Army West Point
Army West Point,Army West Point
Auburn,Auburn
Augusta State,Augusta State
Austin Peay,Austin Peay
Ball St,Ball St.
Ball St.,Ball St.
Ball State,Ball St.
Baltimore,Baltimore
Baylor,Baylor
Bellarmine,Bellarmine
Belmont,Belmont
Beloit,Beloit
Bethune Cookman,Bethune-Cookman
Bethune-Cookman,Bethune-Cookman
Binghamton,Binghamton
Birmingham-S,Birmingham-S
Birmingham-Southern,Birmingham-S
Boise St,Boise St.
Boise St.,Boise St.
Boise State,Boise St.
Boston College,Boston College
Boston U,Boston U.
Boston U.,Boston U.
Boston Univ,Boston U.
Boston Univ.,Boston U.
Boston University,Boston U.
Bowling Green,Bowling Green
Bowling Green St,Bowling Green
Bowling Green State,Bowling Green
Bradley,Bradley
Brooklyn,Brooklyn
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
Brigham Young,BYU
BYU,BYU
Cal Poly,Cal Poly
Cal St Fullerton,Cal St. Fullerton
Cal St. Fullerton,Cal St. Fullerton
Cal State Fullerton,Cal St. Fullerton
CS Fullerton,Cal St. Fullerton
CSU Fullerton,Cal St. Fullerton
California,California
University of California,California
CA Baptist,California Baptist
Cal Baptist,California Baptist
California Baptist,California Baptist
Campbell,Campbell
Canisius,Canisius
Case Western Res.,Case Western Res.
Case Western Reserve,Case Western Res.
Catholic,Catholic
CCNY,CCNY
City College of New York,CCNY
Centenary LA,Centenary LA
Cent Arkansas,Central Ark.
Cent. Arkansas,Central Ark.
Central Ark,Central Ark.
Central Ark.,Central Ark.
Central Arkansas,Central Ark.
Cent. Conn. St.,Central Conn. St.
Central Conn,Central Conn. St.
Central Conn St,Central Conn. St.
Central Conn. St.,Central Conn. St.
Central Connecticut,Central Conn. St.
Central Connecticut State,Central Conn. St.
C Michigan,Central Mich.
Cent. Michigan,Central Mich.
Central Mich.,Central Mich.
Central Michigan,Central Mich.
Charleston So,Charleston So.
Charleston So.,Charleston So.
Charleston Southern,Charleston So.
Charlotte,Charlotte
UNC Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago,Chicago
Chicago St,Chicago St.
Chicago St.,Chicago St.
Chicago State,Chicago St.
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland St,Cleveland St.
Cleveland St.,Cleveland St.
Cleveland State,Cleveland St.
Coast. Carolina,Coastal Carolina
Coastal Car,Coastal Carolina
Coastal Caro.,Coastal Carolina
Coastal Carolina,Coastal Carolina
Charleston,Col. of Charleston
Col Charleston,Col. of Charleston
Col. of Charleston,Col. of Charleston
College of Charleston,Col. of Charleston
Colgate,Colgate
Colorado,Colorado
Colorado St,Colorado St.
Colorado St.,Colorado St.
Colorado State,Colorado St.
Columbia,Columbia
Coppin St,Coppin St.
Coppin St.,Coppin St.
Coppin State,Coppin St.
Cornell,Cornell
Creighton,Creighton
Cal State Los Angeles,CS Los Angeles
Cal St Bakersfield,CSU Bakersfield
Cal St. Bakersfield,CSU Bakersfield
Cal State Bakersfield,CSU Bakersfield
CS Bakersfield,CSU Bakersfield
CSU Bakersfield,CSU Bakersfield
Cal St Northridge,CSUN
Cal St. Northridge,CSUN
Cal State Northridge,CSUN
CS Northridge,CSUN
CSU Northridge,CSUN
